//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;Коэффициент заполнения ШИМ (запись)@13;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW47;MU210_403
;Коэффициент заполнения ШИМ (запись)@14;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW48;MU210_403
;Коэффициент заполнения ШИМ (запись)@15;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW49;MU210_403
;Коэффициент заполнения ШИМ (запись)@16;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW50;MU210_403
;Коэффициент заполнения ШИМ (запись)@17;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW51;MU210_403
;Коэффициент заполнения ШИМ (запись)@18;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW52;MU210_403
;Коэффициент заполнения ШИМ (запись)@19;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW53;MU210_403
;Коэффициент заполнения ШИМ (запись)@20;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW54;MU210_403
;Коэффициент заполнения ШИМ (запись)@21;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW55;MU210_403
;Коэффициент заполнения ШИМ (запись)@22;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW56;MU210_403
;Коэффициент заполнения ШИМ (запись)@23;;Значение 0...1000 соответствует коэффициенту заполнения 0...100%;%QW57;MU210_403
